tx_id,tx_datetime,customer_id,channel,store_id,payment_type,subtotal,tax,shipping,order_total,is_return
4b554e26-6463-4808-948a-5eec98228fec,2024-08-30T16:21:55.785494,a4ae7843-fc8f-4664-9460-47a7a24d0c91,STORE,STORE_020,card,78.58,15.72,0.0,94.3,False
0d1d67c7-a2aa-4840-84ac-976adbc8d070,2024-10-04T14:51:40.639328,f1c84744-fd3f-4ae6-9348-f4c19199c7b4,ONLINE,,giftcard,72.09,14.42,0.0,86.51,False
f2b00b44-9c87-443e-bcec-55541bb1c7c4,2024-09-17T05:10:20.078400,9d439d46-1317-459c-a9b5-c1763a760ddc,STORE,STORE_017,apple_pay,14.32,2.86,0.0,17.18,False
8c4b5127-4093-4c84-9e0f-1ee66c981917,2025-02-17T03:38:16.568077,8ab50d1f-14a8-49fc-b86c-0dde92751eb0,STORE,STORE_006,giftcard,61.01,12.2,0.0,73.21,False
1c5d572f-3a13-4595-ab5c-1631303161ca,2025-07-13T05:50:21.056308,d661f897-f101-4ef2-9ae4-fadfb80b4a0d,STORE,STORE_004,apple_pay,30.03,6.01,0.0,36.04,False
306a765c-8116-485c-9539-2ed3f5eb1fde,2025-02-28T02:02:20.859567,5669cb97-d193-4d60-a9ac-c980530a2989,STORE,STORE_021,card,34.63,6.93,0.0,41.56,False
6b4657ad-9840-4589-8f41-121c315e056a,2025-06-20T02:09:53.404008,4fd6b302-770b-4941-be5c-5826df723e80,STORE,STORE_005,card,62.87,12.57,0.0,75.44,False
35829526-0f23-4549-8982-cb5b2a8ca8ef,2024-12-30T14:30:14.179540,68615680-ddb3-450f-a748-319d2e541ce1,STORE,STORE_000,card,37.0,7.4,0.0,44.4,False
5299de4d-fdbe-4e4a-8a24-695849da134b,2024-10-08T20:38:19.926206,bc03cea3-a5e1-404e-9347-f142d08aae1a,STORE,STORE_007,giftcard,9.63,1.93,0.0,11.56,False
f0cb14dc-b2a7-4beb-9cfa-9e6d99b63639,2024-12-05T14:19:07.642951,d88efeb9-7fd7-4acf-a0db-9f4c2eee1666,STORE,STORE_017,card,19.44,3.89,0.0,23.33,False
a4b45f5a-a796-44d2-b43b-5811391ce409,2024-11-07T22:43:22.037463,0eca8d7c-b36a-4ee9-a533-932f8c088dbc,STORE,STORE_005,apple_pay,14.31,2.86,0.0,17.17,False
89a21f4f-59a4-4130-a719-ed2ceff506c3,2024-11-12T09:36:59.328021,f3ed5afd-70a6-441a-b896-fb24dcdb24bd,ONLINE,,giftcard,91.01,18.2,0.0,109.21,False
b3b8342c-089c-4c68-b0ee-8d580cd1271e,2024-09-03T03:34:33.723713,3bd854e0-cba2-44f2-98f1-d2cd45a767c6,STORE,STORE_018,giftcard,17.79,3.56,0.0,21.35,False
dbf3c8ec-8270-4887-9f06-d211d1ab6f8b,2025-06-21T10:19:00.546535,38b9653c-395d-42c1-8383-76ec6847bae7,STORE,STORE_001,card,13.07,2.61,0.0,15.68,False
7e179927-dabc-4215-91c3-dc90c21fbc9b,2025-05-17T06:47:01.990504,b9a4acbb-92c9-41f2-a931-96d6b9755382,STORE,STORE_023,apple_pay,89.69,17.94,0.0,107.63,False
a5da867a-0f7b-4c56-9c2d-2c4c5af3522f,2025-07-24T01:05:29.118044,d7c3acff-1f03-4b28-bf52-952964529fa7,STORE,STORE_022,giftcard,62.52,12.5,0.0,75.02,False
f7b43a5f-929a-4178-8b6d-c2e5f74621dd,2024-10-10T12:07:46.948698,1c6aa746-b6b5-49dd-b6ce-879cf1a66d6c,STORE,STORE_002,card,2.44,0.49,0.0,2.93,False
10e05473-6263-4a0f-bb09-721fe7474879,2024-08-21T03:19:17.191716,5c8be928-53bb-4cec-aa93-1631d89e9584,STORE,STORE_009,apple_pay,10.01,2.0,0.0,12.01,False
d644af02-3fa8-47c4-a3bb-d2f4d9be6c63,2024-10-29T11:15:58.247830,ae5d3b60-8fcc-42ce-84ba-e5adbac823bd,ONLINE,,giftcard,26.36,5.27,2.99,34.62,False
8facda57-d462-4c70-8580-58c1798908aa,2024-09-27T00:09:40.872486,4c3920cb-0e2f-42bc-81f7-fae8808b83b4,STORE,STORE_013,giftcard,25.69,5.14,0.0,30.83,False
3193c651-d577-40d4-a8d4-6675f3358043,2025-01-05T16:29:18.961587,665d2277-4fea-48a6-8d29-09cb1b150b7f,STORE,STORE_009,giftcard,9.46,1.89,0.0,11.35,False
26b8dc32-09f0-4b0b-911b-7f2baf69c637,2025-03-27T02:41:59.695175,754844d7-32ff-4d3f-892f-b75b7d000b36,STORE,STORE_018,cash,3.7,0.74,0.0,4.44,False
3c5ba66c-d050-4567-abf2-315e59910828,2025-03-05T18:17:36.033340,c819bccf-0518-4b00-ae2f-cde259c93f73,STORE,STORE_024,giftcard,22.92,4.58,0.0,27.5,False
f21967dc-6a0c-4858-9a52-15a19d279845,2024-09-28T19:45:41.232732,7838ce21-c8ce-40b7-960f-855f93433790,STORE,STORE_002,giftcard,53.84,0.0,0.0,53.84,False
ddd92a94-a231-4e77-a7bb-10ac79428edd,2025-07-09T13:06:41.251621,acdfac26-48da-4bb4-8d40-20792f77df7c,ONLINE,,card,19.37,3.87,2.99,26.23,False
