review_id,product_id,customer_id,rating,review_date,review_text
0878a472-7602-44c6-a58a-1e328c804086,8753ecf8-76d9-4ca8-bfe2-aaa4f8bb1466,c843399c-f80a-45e8-953a-7c32a664ea82,4,2025-06-28,Aliquid pariatur officia itaque exercitationem aliquid asperiores officiis amet fugit voluptatibus nisi amet.
e9a5e37f-cc87-426c-970f-b25b332ab150,2950385f-f1bd-436c-89cd-e34af225c898,c5e9e1d2-3b87-449d-a6fc-6cea31b0fb38,1,2025-01-13,Veritatis minima a deserunt molestiae tempore sit amet aliquid.
63fc9757-0dd5-4e48-b281-88884bdfc299,6ce3f243-d0f0-436f-bddb-6eb6f06f9b0d,c022ed3d-f987-4570-9ff8-c48e46d67f2c,5,2024-10-05,Non qui at in beatae dolorem fuga molestiae dicta nostrum dolorem quos eveniet eum.
b59837bb-83c5-47b7-9902-d4eb2fe0ad1f,a0e19aba-c63a-4c73-816f-ff883ddcbf73,917fdcaf-e6dd-4f0e-95d6-f163aa3a1e44,3,2024-11-15,Tenetur tempore fuga molestiae explicabo officia sunt cupiditate libero iste adipisci ut necessitatibus eius.
7886952a-d10b-47ef-b6c9-ff2b58636806,455fe0c1-8b8c-4974-aa5a-c7356b8f2971,a9e750b6-7ec4-4695-b132-68f5e596e688,2,2024-11-20,Dignissimos dolore odio aut eius unde labore tempore porro voluptatibus nulla ut.
26ee6644-3356-4720-8233-3ec464887516,c3818cc6-3c60-49e5-8805-2dbcbd856025,2ac1ced3-c6e2-48e6-ad37-7cd8e898d692,4,2025-02-13,Perspiciatis perspiciatis voluptatum eaque deserunt hic ullam maxime odit asperiores.
b3f0d440-b336-469c-bed7-bec6e9043913,6eddbfc0-4f90-40c3-b158-87605003805c,e0cd7a68-4133-4aff-961f-d6cc4ba84f0a,2,2024-11-29,Cupiditate ullam nobis inventore suscipit debitis aut cumque perspiciatis veritatis.
20758ca5-0b19-46cd-95e6-b9b11fe04ab7,62b0e781-b17d-457d-af89-6e56deeadede,7f61c264-63dc-49da-81ad-8b6b018d633f,5,2025-06-03,Ipsum modi distinctio itaque nam ab temporibus magni inventore aliquam perferendis corrupti.
77e4a147-4520-48c0-83c9-2706404e2805,b54264d4-9306-4bc4-90c7-ae737a0b5518,9635891c-a2ec-445b-9029-fbb6b3eee285,3,2025-01-19,Reprehenderit tempore magnam placeat quasi hic aspernatur nesciunt eum dolorem blanditiis accusantium.
516072a9-8ccb-4de7-ae79-483e15f187bd,27834006-47d3-43dc-80bb-b8b056bbfa60,15f3b2a1-f7e2-44bb-a16c-bc8bbfa2c1f1,5,2025-07-05,A facilis sint maxime fugiat occaecati tenetur doloribus.
012b5bd4-16d7-4179-be7f-2f2d0d0b9ee9,61ef42cc-d33c-4be0-a02d-7703a1db1c68,e503ba9b-1559-4ebd-b307-9218e8151558,4,2024-11-14,Cumque ex totam reiciendis quo nisi reiciendis quaerat non.
fc69c6c3-7089-4dc6-abcd-f3d8efe1de00,8cee83ce-9d7e-4798-b8cf-eb8ee512c16d,c9b91e17-6fe4-4f81-a177-22abbdffe467,2,2025-01-30,Distinctio autem consequatur officia sed blanditiis ratione explicabo doloribus quidem.
1472319f-8fe5-4e73-8462-bc53cab4c80b,e88f11b0-35f0-42d1-b04e-69088a42f61a,78ba067c-f4c2-44c2-9335-aa9458c69728,4,2025-08-10,Omnis excepturi assumenda ratione odio corporis dignissimos.
2dcbd307-3079-436c-9c98-cfd6fae46ece,5b3347da-0e7b-444a-b199-48fa122bdf29,4f101193-1c8d-423b-9942-4acdca20fca8,4,2025-07-17,Repellat architecto eius excepturi velit eos numquam rerum maxime in enim.
83a5c1c2-59f4-473b-9ce1-360051f5cf14,c481f145-962e-4dd8-80b5-cf6e8d82c11e,21efa7cd-918b-442f-afdf-975438c5ef84,4,2025-07-19,Esse rerum hic delectus quia dolor rem eos dicta ipsa dolores asperiores temporibus inventore explicabo.
5227bc85-0539-4f11-96e4-df835c1d0c95,1179b8e1-ed58-4cfe-bdf3-b814a8327129,de948b5c-7cec-445a-9730-b433e07bb517,5,2024-10-15,Rem rerum quibusdam aut ratione ad vitae eius nostrum ab perspiciatis eum eius aperiam adipisci.
912d8818-a0f4-4289-a98e-0bbc95d11420,223883f2-b7e9-4af7-8219-96facf9be458,39898bdd-4efe-4c81-affa-1c3d521bb14b,4,2024-11-10,Illum eligendi accusamus earum at et voluptates repellat dolore ex aperiam.
