return_id,tx_id,product_id,sku,return_date,quantity,refund_amount
0ee83153-f46d-4d57-b24f-cc3d4d219d03,f410c4ee-480a-4087-911a-7c426336d762,e2166220-9e0a-4ca1-a513-06a07decd251,MSBE00491,2025-05-07T15:29:40.997075,1,27.21
68980fd2-4ad3-4f76-9759-e1865342b213,bc89929b-6a12-4355-835a-80be0f5ee941,48361c7a-d4a0-4776-8b3f-05a2bff77ecf,MSHO00053,2025-05-02T17:20:50.214382,2,86.0
25ae5110-8705-460b-aca5-3325176beed8,f2fc0c11-ea63-45ac-a1f2-9ed48b29db62,d9f5cad7-f3de-4617-938c-6965395809e7,MSWO00932,2024-12-07T10:58:53.672210,1,1.44
ffb5f13a-f1c4-409b-b8ac-67e74b13c03b,11d631b5-d821-44cb-8392-c52b9dbb3ea6,6b31c102-e7a3-4ca4-bf7c-4416e9b2f628,MSFO00752,2025-03-21T16:37:20.635780,1,85.96
4701b21f-b03b-43ab-969f-85dd2d5e5732,3d4fcd7d-0304-4e51-9c61-47b3e1db2626,9f69fb11-0136-4d99-8244-d6a2f821cde1,MSME00339,2024-09-11T05:44:48.548197,1,4.82
a04412e5-af10-4d82-8863-72848bdd15cd,055f20f9-f983-4de0-828e-5a06ccc0c901,99dcebac-ad01-4099-9f4c-311198b2ced2,MSWO00974,2024-12-17T19:23:39.460225,1,5.65
cb7a8668-05eb-48be-bc91-f1ad00ead13b,b28dd88b-265d-4e71-9f72-91b974ecd0b0,b47b1432-0523-475d-a155-ade935c154a5,MSWO00837,2025-07-31T00:22:09.998448,1,28.58
38ed4da8-8c5e-49d2-80d9-c6d288b2bb79,f135a7da-13e2-4fbe-afa3-2c235618f4be,681ee645-7743-4866-b1ba-2465146c3893,MSHO00363,2024-08-17T07:43:02.946550,1,110.88
dbfc6794-91cf-457a-bde7-a80188a63737,95baf2f6-c8e9-484b-9294-741478a8b4c8,fef6621a-369c-4912-b03b-314fd831c492,MSWO00480,2024-09-03T13:03:15.932891,1,30.1
1bf0c7e4-12ac-4bc3-8ef2-590b693f8005,be991ca4-f285-4ae6-baf3-8b544d54cb6d,d54b39e0-3b66-425e-ad1a-31cad6c2139b,MSBE00718,2025-06-20T17:27:32.603000,1,8.48
2b1e4fba-5b25-4a6e-987f-80e2c5c89887,c89af944-bcc0-4390-b066-3ccfefa5cef5,d7b0f3ef-b828-494a-9cff-7712688f6f9f,MSWO00545,2025-07-20T13:07:09.953262,1,12.46
ba6fd8b3-7bad-439c-a0d8-e270d3547cd8,aede7188-ff97-4d47-9eaa-564999f5a997,c12b4c6a-0d08-4df9-a85e-5bffa3bb9637,MSHO00796,2024-10-07T03:11:36.600310,1,13.42
afcab7a5-578d-4507-a3c3-f93c69c54a13,9f59382f-da14-4155-8619-03fc2584412e,980d3499-1d8f-4ed4-8b97-601d607fbea9,MSFO00270,2025-02-15T02:25:05.090551,1,3.15
b0570725-37a3-4c87-a82f-d93d39f03891,5d29815e-648d-43be-9b6f-7b46ead115ca,e2349114-7efe-4a00-bd4f-c5179ae30244,MSHO00849,2024-11-09T05:36:00.339750,1,10.79
16b92bae-2e13-40e1-a47d-4bcc6f3a385e,2815dc48-f85d-4a8a-b9c0-b2b0891564ff,f9309955-7e4e-4fff-8f61-8a189de1cf16,MSHO00161,2024-10-05T22:01:04.407318,1,29.33
e8a9ec79-d42b-4ea8-82a7-d3cebb219357,e20c4603-46b4-488c-b4d7-434ecb3ec648,60e99552-b509-49be-a547-c223897b701e,MSHO00916,2025-02-27T01:29:28.518355,1,3.92
3ae2ef48-5785-4db0-b253-f02151497b82,e1bf9a96-c36f-4f8c-bd3a-c341014fa2e0,d6d287da-c2a1-4861-b9b4-bc494fe0ba48,MSBE00092,2024-10-15T09:49:08.637926,1,6.08
7733720a-da0b-4473-a886-683bf3f7a9e2,95e08b1e-ba74-4e3d-ba7d-96717c8169ef,b6cff418-9a3a-4de2-ab0f-89387ef64302,MSHO00490,2024-10-20T02:57:41.053905,1,48.06
520fa0ed-e655-4176-8e5f-e69ed5fae2ff,12ea1a2f-7f4c-45cf-a39d-8e752d84af6a,931dec54-8abf-4e65-b21c-076a2f76a472,MSME00823,2025-06-29T20:45:50.630789,1,15.68
87951726-ab96-4cbc-8ca8-8a7d154d4924,0f3f4905-2993-42a2-9caa-6a2f511aeb18,23a2695f-bdb4-4fc7-91a8-ef3df3a5057a,MSBE00819,2024-09-13T02:52:34.090424,1,7.31
525207c4-988e-4fc1-a811-5a1b044853a3,9bd125e5-b8a7-4524-b3a0-808f708ac80c,d434ac39-0344-4be8-a199-acbe8a224996,MSME00893,2025-05-13T01:23:18.437520,1,10.66
762a89b6-21f1-44c4-bb17-161d936f795e,30cd71f5-cecc-4ac1-bda2-0f99b12a5126,cf7c6dca-9a53-45ad-a566-a327821b5bbf,MSME00470,2024-10-11T08:19:16.182629,1,33.03
00efc35f-36a1-45be-a67a-c397b385331d,0c73f6bc-d49f-4375-9f1b-6c144cc9f8c0,7f4d6d4f-19df-4eee-bade-4b3937f73660,MSWO00353,2025-01-03T22:12:03.140308,1,9.73
4f7e5fca-39f7-41c9-8755-788be9536250,447dc291-b69c-475e-9409-94f02a83c16f,b17032b7-5498-4fdf-a47d-56a4b50056c1,MSFO00492,2024-11-18T09:28:11.022024,1,2.25
efdcc573-5819-4bb2-895d-327b083f7cb9,5299de4d-fdbe-4e4a-8a24-695849da134b,854d568d-9e0c-4de1-8e8c-d3d01e702ba5,MSBE00038,2024-10-31T20:38:19.926206,3,9.63
76e4261a-40e9-46cd-aae0-7be6dd7fccb6,47eb146c-490a-4c5a-9c09-601911743965,e24ef2c9-22ba-4e50-8a79-b022ab1696e1,MSHO00065,2024-12-10T05:35:53.875757,1,15.92
13c5bcc1-c254-4ee1-8226-23256d72595d,39b8f05b-9941-4fea-bee2-479ba5ee6850,00facabe-cb97-48d8-b06f-94e9c4e7b246,MSHO00642,2025-03-22T09:02:13.138589,1,7.31
b44c3509-786d-4394-a351-7b817b6a408f,70c10dfa-2543-4409-b5f4-d4e24211a0d6,b215c870-edef-4b72-84ef-289e0fbc751d,MSWO00685,2024-12-19T08:54:15.313553,1,18.42
