snapshot_date,store_id,product_id,sku,stock_level,incoming_qty,reserved_qty
2025-07-10,STORE_000,54123958-d40b-4125-a10d-e6ad47ab281d,MSME00795,20,1,1
2025-07-10,STORE_000,0b5ff3a6-2a4a-4d32-8f8a-49564cf66713,MSHO00604,17,0,0
2025-07-10,STORE_000,73f4b6f7-ad12-4ca8-b6b7-d7200539c698,MSME00206,18,0,2
2025-07-10,STORE_000,60f5bfb4-b17b-47f3-9262-3e6ea16d5991,MSFO00088,26,3,0
2025-07-10,STORE_000,b992b754-386a-47fd-ac2d-0f3db63dd4c8,MSFO00735,25,0,0
2025-07-10,STORE_000,6f69e3c1-d6a7-462a-894b-123633b95ab5,MSFO00037,20,1,2
2025-07-10,STORE_000,6817c5eb-29f6-48e8-9eba-a68ed8908877,MSME00957,22,0,1
2025-07-10,STORE_000,53017749-3174-4321-88e1-77d21932cd8a,MSME00072,18,0,1
2025-07-10,STORE_000,e4cfbb3f-188a-4705-962c-1664ada7f502,MSFO00114,20,2,1
2025-07-10,STORE_000,c23a93a8-8a3a-4093-a5d9-0a599477b11d,MSME00200,26,1,0
2025-07-10,STORE_000,29df3471-2dae-496f-aec7-83b175507993,MSBE00590,27,1,2
2025-07-10,STORE_000,bf4975bd-711b-45c8-aef4-643b8bb6f160,MSWO00450,19,3,2
2025-07-10,STORE_000,67131c14-e921-4244-b1ff-82df4e7d3c7c,MSBE00189,26,0,3
2025-07-10,STORE_000,b154bf8b-d256-4fc9-93d3-204e297a44b1,MSBE00554,17,0,0
2025-07-10,STORE_000,41552317-0658-420e-9ad3-cefe47827c8d,MSME00244,14,1,0
2025-07-10,STORE_000,a74215ba-dc13-46c6-a1f8-35d627c0c037,MSFO00649,26,1,0
2025-07-10,STORE_000,f11113df-e510-4e1a-a076-4ba47d7b1a8d,MSFO00107,17,1,1
2025-07-10,STORE_000,285c187d-3a25-4183-a032-52ff882c68d6,MSWO00626,26,1,0
2025-07-10,STORE_000,d91449a1-4fee-4a85-97c1-43463aecf2c8,MSME00168,21,1,0
2025-07-10,STORE_000,e1c0db13-8246-4b5d-996f-1c241cac9ce7,MSBE00919,26,1,1
2025-07-10,STORE_000,94f13c94-1b8c-421c-a640-dbb5edbb431b,MSHO00730,16,0,1
2025-07-10,STORE_000,c89c021b-af2b-4cfc-89c5-6f9a13158cfc,MSBE00173,23,2,0
2025-07-10,STORE_000,23cb9476-1711-4ef9-8fcc-7665a208b432,MSBE00568,26,2,1
2025-07-10,STORE_000,23a2695f-bdb4-4fc7-91a8-ef3df3a5057a,MSBE00819,25,1,0
2025-07-10,STORE_000,44f69dbd-5dda-416e-8df7-2439b06a4b2c,MSFO00530,17,4,3
2025-07-10,STORE_000,ac6a5b2c-f2d4-4abc-98ee-a9565a011eab,MSME00541,23,0,2
2025-07-10,STORE_000,7645aa37-bac7-44f0-a185-caa0ec09902e,MSME00474,22,0,1
2025-07-10,STORE_000,135aee0e-3ca6-488c-8ba1-9e5d528a332d,MSBE00460,27,2,1
2025-07-10,STORE_000,91873928-b18a-4ebd-98e0-ea5b91eb64db,MSHO00650,26,1,2
2025-07-10,STORE_000,8e52892e-8e70-4dd9-8799-3929fa9cb563,MSBE00636,16,1,0
2025-07-10,STORE_000,73acc7b2-eaf7-4a76-843e-e1fa11b22dba,MSBE00921,25,0,3
2025-07-10,STORE_000,15726e0e-0adc-485c-983a-3ee621845e78,MSBE00890,20,0,1
2025-07-10,STORE_000,7b444151-8a5a-4b86-8ac8-5384f99bdaff,MSBE00178,25,0,1
2025-07-10,STORE_000,58d06078-0995-49f3-bd34-da71dae75327,MSME00506,14,2,2
2025-07-10,STORE_000,63f15dc6-e346-4b00-b3c0-f087a6089a7a,MSWO00728,18,1,1
2025-07-10,STORE_000,b4215acd-1222-4be2-b95b-47db3c007d1e,MSME00816,27,2,0
2025-07-10,STORE_000,a8da9b88-15c6-4941-b9fd-28077d149698,MSHO00828,18,0,3
2025-07-10,STORE_000,59ecb7d6-c4db-4650-b87b-701e051ca646,MSHO00578,25,2,1
2025-07-10,STORE_000,3e5cb5a4-9934-4a16-a563-fc858442ab4c,MSME00255,17,1,1
2025-07-10,STORE_000,89f46c2d-0038-4097-8074-c8d51e48e809,MSME00934,12,2,0
2025-07-10,STORE_001,73f4b6f7-ad12-4ca8-b6b7-d7200539c698,MSME00206,23,1,1
2025-07-10,STORE_001,b992b754-386a-47fd-ac2d-0f3db63dd4c8,MSFO00735,16,3,0
2025-07-10,STORE_001,044ef85a-55e8-4aff-ac50-8da0908e193e,MSBE00400,21,0,1
2025-07-10,STORE_001,8e52892e-8e70-4dd9-8799-3929fa9cb563,MSBE00636,22,1,0
2025-07-10,STORE_001,0b282018-3fe8-401f-afb2-8ce925cc7eb2,MSBE00245,28,3,3
2025-07-10,STORE_001,31f62c05-c263-43d4-ae55-17b562c4bc62,MSME00259,22,1,6
2025-07-10,STORE_001,7a615232-14c0-4e2f-a1c5-3c1ef33800ca,MSFO00397,19,3,0
2025-07-10,STORE_001,6817c5eb-29f6-48e8-9eba-a68ed8908877,MSME00957,23,1,0
